1,0.53502
2,0.58788
3,0.66549
4,0.73236
5,0.75509
6,0.74487
7,0.73627
8,0.74033
9,0.751
10,0.7555
11,0.753
12,0.74917
13,0.75064
14,0.75427
15,0.75663
16,0.75492
17,0.75337
18,0.75349
19,0.75595
20,0.75679
21,0.75628
22,0.75472
23,0.75521
24,0.75615
25,0.75713
26,0.75618
27,0.75555
28,0.75522
29,0.75628
30,0.75625
31,0.75582
32,0.7545
33,0.75448
34,0.7545
35,0.75478
36,0.75373
37,0.75303
38,0.75222
39,0.75246
40,0.75174
41,0.75089
42,0.74923
43,0.74855
44,0.7478
45,0.74733
46,0.74579
47,0.74457
48,0.74309
49,0.74244
50,0.74087
51,0.73924
52,0.73685
53,0.73523
54,0.73352
55,0.73204
56,0.72962
57,0.72744
58,0.72491
59,0.72305
60,0.72026
61,0.71734
62,0.71368
63,0.7106
64,0.70745
65,0.7044
66,0.70048
67,0.69665
68,0.69238
69,0.68861
70,0.68383
71,0.67876
72,0.67289
73,0.66741
74,0.66184
75,0.65617
76,0.64961
77,0.6429
78,0.63564
79,0.62862
80,0.62045
81,0.61172
82,0.60209
83,0.59255
84,0.58287
85,0.57278
86,0.56172
87,0.55019
88,0.53795
89,0.52562
90,0.51199
91,0.49749
92,0.48203
93,0.46633
94,0.45042
95,0.43379
96,0.4162
97,0.39788
98,0.37889
99,0.35952
100,0.33909
